platform     lat_deg     lat_min     lat_sec     lon_deg     lon_min     lon_sec     elv
WFFPad       37          56          4.3         -75         28          15.2        0
NPOL-Newark  38          15          46          -75         20          28.0        0
UCONN        41          48          47.73       -72         16          24.36       0
apu01        37          55          58.72       -75         28          19.3        0
apu02        37          56          4.63        -75         28          15.47       0
apu03        37          56          4.45        -75         28          15.58       0
apu04        37          56          4.39        -75         28          15.34       0
apu05        38          5           44.32       -75         25          53.33       0
apu06        38          4           54.16       -75         35          57.44       0
apu07        37          56          4.11        -75         28          14.98       0
apu08        38          4           0.73        -75         34          46.38       0
apu11        37          56          39.07       -75         27          49.54       0
apu12        37          56          4.23        -75         28          15.04       0
apu15        37          56          13.92       -75         27          57.9        0
apu16        37          55          46          -75         28          23.32       0
apu17        37          56          38.59       -75         28          52.8        0
apu18        37          56          38.59       -75         28          52.8        0
apu20        38          11          48.38       -75         22          10.40       0
apu21        38          5           59.07       -75         33          10.05       0
apu23        38          0           44.41       -75         27          18.45       0
apu25        38          3           16.99       -75         24          35.59       0
apu27        41          49          5.36        -72         15          28.69       0
apu28        41          48          28.56       -72         17          39.41       0
SN25         37          56          13.97       -75         27          57.35       0
SN35         37          56          38.64       -75         28          52.76       0
SN36         37          56          38.93       -75         27          49.54       0
SN37         37          56          15.32       -75         27          22.29       0
SN38         37          55          45.42       -75         28          23.23       0
SN70         37          56          4.28        -75         28          15.72       0
MRR2-01      37          56          3.99        -75         28          15.15       11
MRR2-02      37          56          3.99        -75         28          15.15       11
MRR2-03      37          56          3.99        -75         28          15.15       11
MRR2-04      37          56          3.99        -75         28          15.15       11
